LabID,x,y,p_bray,k,tn
51,-61.51281944,-37.37646111,20.4,852.1698743,0.224611677
60,-57.84725,-37.85136111,10.52440725,769.5543527,0.30088215
64,-58.8762,-38.54,15.86915888,992.4107143,0.266211583
67,-60.30394444,-38.453,20.84761905,740.2374935,0.17920389
68,-60.39772222,-38.51566667,13.54495159,724.7729219,0.168316259
69,-60.41441667,-38.52913889,46.17270195,699.0304853,0.129437707
74,-60.00555556,-38.765,20.94285714,518.578634,0.229475813
75,-60.1075,-38.76472222,26.82377049,450.1710908,0.235458067
77,-60.17138889,-38.79277778,22.56190476,858.7992091,0.190298954
78,-60.03111111,-38.74611111,20.08571429,662.9146356,0.199374914
79,-60.0275,-38.74888889,12.09266943,482.4946337,0.173247247
82,-60.45308333,-38.57138889,12.57513661,920.6574954,0.15090645
84,-60.38644444,-38.57252778,7.191780822,712.2777311,0.173857986
85,-60.36366667,-38.60183333,7.191780822,930.8728448,0.167606966
86,-60.48055556,-38.60138889,13.62745098,559.8174916,0.154377249
115,-60.53802778,-37.19991667,4.424076607,521.2972689,0.277188696
124,-58.39802778,-37.68555556,13.81308411,449.6060924,0.249291222
125,-58.45033333,-37.92011111,29.23364486,557.1428571,0.226718424
126,-58.25194444,-38.03594444,9.794392523,471.0843806,0.306397259
127,-58.55683333,-37.68588889,14.37383178,582.6098059,0.290983646
128,-59.84516667,-37.59961111,15.36490251,709.3996267,0.196905206
129,-59.88786111,-37.66477778,15.32380952,487.6494909,0.255324961
130,-59.82480556,-37.67625,38.37142857,492.8043481,0.270279288
131,-59.68775,-37.86894444,5.605809129,492.8043481,0.230771849
148,-61.17305556,-38.41002778,12.97196262,790.6820623,0.221632041
149,-61.39858333,-38.46738889,12.31775701,669.8004202,0.221331223
150,-61.00988889,-38.43,19.26478873,1102.269127,0.14696057
151,-61.18638889,-38.54452778,15.32112676,893.7044799,0.208898251
152,-61.04022222,-38.31177778,7.551401869,733.0827068,0.23249416
169,-58.57938889,-37.84405556,19.98130841,444.1295256,0.297103227
170,-58.67602778,-37.91683333,17.45794393,552.73238,0.29433326
171,-58.74233333,-38.19966667,22.41121495,613.4716387,0.19945544
172,-58.67388889,-37.98455556,5.962616822,652.3237998,0.27926975
173,-58.74148333,-38.00176667,6.423988842,791.4300538,0.191357411
174,-58.81963889,-38.13533333,9.514018692,746.0448001,0.239112154
176,-58.93044444,-38.33712778,13.62616822,670.2470462,0.263862377
177,-58.63311111,-38.36405556,33.53271028,1007.534984,0.269866305
178,-58.72561111,-38.52544444,14,523.6305048,0.244098015
213,-58.93972222,-37.44966667,10.92541436,216.8654085,0.239697029
214,-58.94347222,-37.45066667,7.967168263,230.3974221,0.260624019
215,-59.21480556,-37.35033333,13.1489071,428.2622788,0.302382732
216,-58.98486111,-37.34630556,11.69889503,543.4933637,0.231070913
217,-59.35894444,-37.11041667,11.89226519,631.6310659,0.225731794
218,-59.40408333,-37.27558333,27.58546433,625.5499333,0.262762074
219,-59.214,-37.29130556,26.92749658,351.5877287,0.242364824
220,-58.94647222,-37.60577778,22.14088398,750.8761925,0.239836345
228,-59.83630556,-38.44405556,15.8,668.862928,0.187292606
229,-60.18169444,-38.40072222,16.78278689,610.9765238,0.171696431
455,-58.29905,-37.75461667,30.23842917,481.7400644,0.222287835
457,-59.89531667,-38.42516944,7.602459016,1011.357486,0.212746597
514,-59.83961944,-37.61373889,11.40883978,527.9396516,0.257265045
516,-60.34776111,-37.54271944,7.975409836,729.739967,0.240428627
519,-61.71758333,-38.45,8.859813084,837.8088077,0.151627336
537,-59.48345,-37.94483889,11.56267409,794.4178565,0.26964947
541,-60.39208056,-37.97983889,9.419398907,398.3253837,0.21015704
543,-61.3675,-38.56633333,12.85633803,691.1922664,0.148591746
544,-61.55380556,-38.77958333,15.61690141,709.9689572,0.093821494
545,-61.24447222,-38.72291667,13.34929577,652.1090643,0.150756453
553,-60.99919444,-38.69327778,9.140186916,652.3237998,0.187813529
554,-59.302,-38.55241944,9.228142077,1103.010959,0.256506474
561,-60.05341111,-37.89546944,9.801912568,591.6810558,0.243266562
562,-60.14485,-38.04678056,12.09699454,606.1526568,0.24517621
566,-61.28951111,-37.26155556,5.010928962,982.8424389,0.211396287
572,-60.82347222,-38.22686111,13.94084507,820.4940339,0.204384199
578,-59.29691111,-38.08193889,4.159836066,707.453864,0.219974035
586,-61.55221944,-37.36246111,17.61134163,557.505,0.23817389
587,-61.46746944,-37.1276,14.87743733,638.3001458,0.120632095
589,-60.6942,-37.52501944,8.276190476,400.0169185,0.249899214
596,-61.35488056,-37.57923889,13.93222683,474.63,0.258654729
597,-61.08303056,-37.59996944,6.847619048,495.2037156,0.235677732
615,-60.81975,-36.93508889,10.25033647,727.8464017,0.313789515
618,-59.04335,-38.52801111,4.46728972,745.1560818,0.17758721
619,-58.8159,-38.47761111,10.26168224,358.5291113,0.261663331
620,-59.08688056,-38.29156111,8.859813084,799.1073372,0.247256328
623,-60.50328056,-36.72088056,10.81561238,695.0714824,0.301275205
625,-60.38825,-37.00844444,11.7577389,555.1601423,0.230781619
627,-60.48141111,-36.89828056,14.01933702,470.5749368,0.282093233
630,-60.65411111,-38.60288889,12.75774648,595.7549837,0.136704653
640,-61.20422222,-37.84663889,11.67323944,784.77601,0.187089902
642,-61.33355556,-38.02261111,13.71962617,770.1641352,0.198817801
643,-61.06058333,-38.08733333,6.687587169,670.2423577,0.257799659
646,-61.12121944,-37.03925,6.561904762,518.578634,0.266099545
660,-61.53752778,-38.27938889,14.93457944,761.9747899,0.221363317
666,-59.64001111,-38.51886944,4.794520548,639.9197259,0.184933713
687,-59.24376111,-37.27986111,22.96904441,705.0031323,0.247925799
696,-60.15483889,-38.44108889,15.82650273,910.0562784,0.199616943
697,-60.24541111,-38.25986111,13.44813278,704.1534931,0.220802718
698,-60.32093889,-38.38883056,8.657142857,524.1469177,0.177689587
699,-60.53546111,-38.29706111,10.10027855,690.3779051,0.246249461
700,-60.46963889,-38.50643056,17.83469945,818.4028053,0.188834163
701,-59.92293889,-38.47351944,9.222841226,1021.124916,0.170266726
755,-58.21491667,-38.29926667,16.3364486,971.927521,0.291917278
756,-57.6744,-38.09468333,7.177570093,638.8292159,0.315223648
757,-58.14445,-38.37028333,54.56074766,629.7093649,0.285791934
758,-57.96105,-38.21755,17.92523364,675.4833512,0.29301098
760,-57.6268,-37.9065,22.78504673,644.1964286,0.301395972
761,-57.91695,-38.0105,14.28037383,488.0247578,0.270430227
762,-58.67983333,-37.90708333,30.44859813,219.1701681,0.292427456
763,-58.53378333,-37.60298333,16.50422535,641.9039146,0.334436184
764,-58.25018333,-37.74776667,20.25801953,560.9942091,0.255037829
765,-59.332,-37.90381667,9.807799443,714.8650998,0.250814633
766,-59.2045,-38.23888333,14.57377049,802.7218996,0.265299952
768,-58.54045,-38.46593333,10.65469613,796.7313585,0.30941827
769,-58.36673333,-38.00901667,22.5046729,408.6052838,0.281207534
770,-58.32763333,-37.99366667,31.78591549,591.7024705,0.26739361
771,-59.49106667,-38.29633333,8.071038251,582.0333218,0.253099475
772,-59.68508333,-38.1739,14.31950207,394.8620613,0.256651448
773,-59.3992,-38.25166667,10.84761905,358.7780609,0.269458827
774,-57.9541,-38.28408333,7.270718232,627.4259448,0.333622533
775,-58.43671667,-37.82116667,28.76635514,895.3396343,0.325506268
778,-59.2079,-38.53362222,17.06967213,914.8801455,0.305828773
780,-58.52576667,-38.0784,14.18691589,461.7868676,0.295345811
782,-58.74168333,-38.31053333,9.887850467,777.3371849,0.27384595
784,-59.21383333,-38.20228333,20.94285714,615.8003909,0.131864536
938,-60.11603889,-36.89973889,15.14939435,1047.645053,0.337806122
1123,-58.311475,-37.76334167,18.77183099,733.7502617,0.261515617
??1504,-61.37472222,-36.90694444,9.977900552,633.629627,0.229073187
??1524,-61.21583333,-37.82444444,12.07162534,659.9119341,0.22196483
??1500,-60.23938056,-37.34307778,36.63911846,457.7399121,0.094017998
