zones,X,zone_name,sum,mean g/m2,t/ha
202,15,Boreal Moist,1.43E+11,4014.045791,40.14
206,16,Cool Temperate Moist,97701335828,4505.366239,45.05
144,11,Tropical Moist,86334913895,4629.034479,46.29
226,17,Subtropical Moist,56494823969,4562.142311,45.62
160,13,Cool Temperate Dry,51257317185,2886.700383,28.9
134,10,Warm Temperate Moist,42354664995,4212.327343,42.1
126,9,Boreal Dry,39968583581,3798.134997,38
118,6,Subtropical Dry,36724804947,2168.209106,21.7
121,7,Tropical Dry,32593877794,1990.131963,19.9
115,5,Warm Temperate Dry,31323707117,2208.074953,22.1
157,12,Polar Moist,28648097522,2917.508712,29.2
114,4,Polar Dry,13470029846,3259.446226,32.6
123,8,Tropical Desert,7319250259,1029.940606,10.3
106,2,Subtropical Desert,6247223353,1032.365467,10.3
255,18,Water,5358476903,3804.974361,38.1
108,3,Warm Temperate Desert,1874302856,1693.542588,17
188,14,Cool Temperate Desert,1340622391,1987.323193,19.9
81,1,Polar Desert,17322111.65,3186.554754,31.9
